x-axis,IN,OUT
second,Volt,Volt
-61.12000E+00,+1.89258E+00,-14.18164E+00
-61.10000E+00,+1.89258E+00,-14.18164E+00
-61.08000E+00,+1.88281E+00,-14.18164E+00
-61.06000E+00,+1.87305E+00,-14.18164E+00
-61.04000E+00,+1.86328E+00,-14.18164E+00
-61.02000E+00,+1.86328E+00,-14.18164E+00
-61.00000E+00,+1.85352E+00,-14.18164E+00
-60.98000E+00,+1.84375E+00,-14.18164E+00
-60.96000E+00,+1.84375E+00,-14.18164E+00
-60.94000E+00,+1.83398E+00,-14.18164E+00
-60.92000E+00,+1.82422E+00,-14.18164E+00
-60.90000E+00,+1.82422E+00,-14.18164E+00
-60.88000E+00,+1.81445E+00,-14.18164E+00
-60.86000E+00,+1.80469E+00,-14.18164E+00
-60.84000E+00,+1.80469E+00,-14.18164E+00
-60.82000E+00,+1.79492E+00,-14.18164E+00
-60.80000E+00,+1.78516E+00,-14.18164E+00
-60.78000E+00,+1.78516E+00,-14.18164E+00
-60.76000E+00,+1.77539E+00,-14.18164E+00
-60.74000E+00,+1.77539E+00,-14.18164E+00
-60.72000E+00,+1.76562E+00,-14.18164E+00
-60.70000E+00,+1.75586E+00,-14.18164E+00
-60.68000E+00,+1.74609E+00,-14.18164E+00
-60.66000E+00,+1.74609E+00,-14.18164E+00
-60.64000E+00,+1.73633E+00,-14.18164E+00
-60.62000E+00,+1.73633E+00,-14.18164E+00
-60.60000E+00,+1.72656E+00,-14.18164E+00
-60.58000E+00,+1.71680E+00,-14.18164E+00
-60.56000E+00,+1.71680E+00,-14.18164E+00
-60.54000E+00,+1.70703E+00,-14.18164E+00
-60.52000E+00,+1.70703E+00,-14.18164E+00
-60.50000E+00,+1.69727E+00,-14.18164E+00
-60.48000E+00,+1.68750E+00,-14.18164E+00
-60.46000E+00,+1.68750E+00,-14.18164E+00
-60.44000E+00,+1.67773E+00,-14.18164E+00
-60.42000E+00,+1.66797E+00,-14.18164E+00
-60.40000E+00,+1.66797E+00,-14.18164E+00
-60.38000E+00,+1.65820E+00,-14.18164E+00
-60.36000E+00,+1.64844E+00,-14.18164E+00
-60.34000E+00,+1.64844E+00,-14.18164E+00
-60.32000E+00,+1.63867E+00,-14.18164E+00
-60.30000E+00,+1.62891E+00,-14.18164E+00
-60.28000E+00,+1.61914E+00,-14.18164E+00
-60.26000E+00,+1.61914E+00,-14.18164E+00
-60.24000E+00,+1.60937E+00,-14.18164E+00
-60.22000E+00,+1.59961E+00,-14.18164E+00
-60.20000E+00,+1.59961E+00,-14.18164E+00
-60.18000E+00,+1.58984E+00,-14.18164E+00
-60.16000E+00,+1.58008E+00,-14.18164E+00
-60.14000E+00,+1.57031E+00,-14.18164E+00
-60.12000E+00,+1.57031E+00,-14.18164E+00
-60.10000E+00,+1.56055E+00,-14.18164E+00
-60.08000E+00,+1.56055E+00,-14.18164E+00
-60.06000E+00,+1.55078E+00,-14.18164E+00
-60.04000E+00,+1.54102E+00,-14.18164E+00
-60.02000E+00,+1.54102E+00,-14.18164E+00
-60.00000E+00,+1.53125E+00,-14.18164E+00
-59.98000E+00,+1.53125E+00,-14.18164E+00
-59.96000E+00,+1.52148E+00,-14.18164E+00
-59.94000E+00,+1.52148E+00,-14.18164E+00
-59.92000E+00,+1.51172E+00,-14.18164E+00
-59.90000E+00,+1.50195E+00,-14.18164E+00
-59.88000E+00,+1.50195E+00,-14.18164E+00
-59.86000E+00,+1.49219E+00,-14.18164E+00
-59.84000E+00,+1.49219E+00,-14.18164E+00
-59.82000E+00,+1.48242E+00,-14.18164E+00
-59.80000E+00,+1.47266E+00,-14.18164E+00
-59.78000E+00,+1.47266E+00,-14.18164E+00
-59.76000E+00,+1.46289E+00,-14.18164E+00
-59.74000E+00,+1.45313E+00,-14.18164E+00
-59.72000E+00,+1.45312E+00,-14.18164E+00
-59.70000E+00,+1.44336E+00,-14.18164E+00
-59.68000E+00,+1.43359E+00,-14.18164E+00
-59.66000E+00,+1.43359E+00,-14.18164E+00
-59.64000E+00,+1.42383E+00,-14.18164E+00
-59.62000E+00,+1.42383E+00,-14.18164E+00
-59.60000E+00,+1.41406E+00,-14.18164E+00
-59.58000E+00,+1.40430E+00,-14.18164E+00
-59.56000E+00,+1.40430E+00,-14.18164E+00
-59.54000E+00,+1.39453E+00,-14.18164E+00
-59.52000E+00,+1.38477E+00,-14.18164E+00
-59.50000E+00,+1.38477E+00,-14.18164E+00
-59.48000E+00,+1.37500E+00,-14.18164E+00
-59.46000E+00,+1.36523E+00,-14.18164E+00
-59.44000E+00,+1.36523E+00,-14.18164E+00
-59.42000E+00,+1.35547E+00,-14.18164E+00
-59.40000E+00,+1.34570E+00,-14.18164E+00
-59.38000E+00,+1.33594E+00,-14.18164E+00
-59.36000E+00,+1.33594E+00,-14.18164E+00
-59.34000E+00,+1.32617E+00,-14.18164E+00
-59.32000E+00,+1.32617E+00,-14.18164E+00
-59.30000E+00,+1.31641E+00,-14.18164E+00
-59.28000E+00,+1.31641E+00,-14.18164E+00
-59.26000E+00,+1.30664E+00,-14.18164E+00
-59.24000E+00,+1.29688E+00,-14.18164E+00
-59.22000E+00,+1.29687E+00,-14.18164E+00
-59.20000E+00,+1.28711E+00,-14.18164E+00
-59.18000E+00,+1.27734E+00,-14.18164E+00
-59.16000E+00,+1.27734E+00,-14.18164E+00
-59.14000E+00,+1.26758E+00,-14.18164E+00
-59.12000E+00,+1.26758E+00,-14.18164E+00
-59.10000E+00,+1.25781E+00,-14.18164E+00
-59.08000E+00,+1.25781E+00,-14.18164E+00
-59.06000E+00,+1.24805E+00,-14.18164E+00
-59.04000E+00,+1.23828E+00,-14.18164E+00
-59.02000E+00,+1.23828E+00,-14.18164E+00
-59.00000E+00,+1.22852E+00,-14.18164E+00
-58.98000E+00,+1.22852E+00,-14.18164E+00
-58.96000E+00,+1.21875E+00,-14.18164E+00
-58.94000E+00,+1.21875E+00,-14.18164E+00
-58.92000E+00,+1.20898E+00,-14.18164E+00
-58.90000E+00,+1.19922E+00,-14.18164E+00
-58.88000E+00,+1.18945E+00,-14.18164E+00
-58.86000E+00,+1.18945E+00,-14.18164E+00
-58.84000E+00,+1.17969E+00,-14.18164E+00
-58.82000E+00,+1.17969E+00,-14.18164E+00
-58.80000E+00,+1.16992E+00,-14.18164E+00
-58.78000E+00,+1.16016E+00,-14.18164E+00
-58.76000E+00,+1.16016E+00,-14.18164E+00
-58.74000E+00,+1.15039E+00,-14.18164E+00
-58.72000E+00,+1.15039E+00,-14.18164E+00
