65,1,0.43,5
70,1,0.43,5
100,1,0.429,7
150,1,0.424,12
200,0.829,0.329,15
250,0.82,0.321,20
300,0.52,0.194,23
400,0.525,0.18,28
500,0.57,0.17,30
600,0.56,0.154,36
700,0.56,0.142,32
800,0.5,0.128,40
900,0.519,0.12,40
1000,0.515,0.112,41
1500,0.19,0.032,46
2000,0.19,0.027,40
3000,0.17,0.02,38
4000,0.21,0.023,30
6000,0.193,0.023,28
