Freq.	V(vout)
1.00000000000000e+005	(-1.99142660035180e+001dB,1.70431363627996e+002°)
1.02329299228075e+005	(-1.99102394013633e+001dB,1.70204869957835e+002°)
1.04712854805090e+005	(-1.99060249516984e+001dB,1.69972839609920e+002°)
1.07151930523761e+005	(-1.99016139963203e+001dB,1.69735124628681e+002°)
1.09647819614319e+005	(-1.98969974891810e+001dB,1.69491572218018e+002°)
1.12201845430196e+005	(-1.98921659802695e+001dB,1.69242024517613e+002°)
1.14815362149688e+005	(-1.98871095989538e+001dB,1.68986318378245e+002°)
1.17489755493953e+005	(-1.98818180370787e+001dB,1.68724285113197e+002°)
1.20226443461741e+005	(-1.98762805308039e+001dB,1.68455750238686e+002°)
1.23026877081238e+005	(-1.98704858430628e+001dB,1.68180533200179e+002°)
1.25892541179417e+005	(-1.98644222445978e+001dB,1.67898447077742e+002°)
1.28824955169313e+005	(-1.98580774947488e+001dB,1.67609298271129e+002°)
1.31825673855641e+005	(-1.98514388223967e+001dB,1.67312886177628e+002°)
1.34896288259165e+005	(-1.98444929057819e+001dB,1.67009002821729e+002°)
1.38038426460288e+005	(-1.98372258521455e+001dB,1.66697432494830e+002°)
1.41253754462275e+005	(-1.98296231777331e+001dB,1.66377951343345e+002°)
1.44543977074593e+005	(-1.98216697866161e+001dB,1.66050326942594e+002°)
1.47910838816821e+005	(-1.98133499498151e+001dB,1.65714317841697e+002°)
1.51356124843621e+005	(-1.98046472849311e+001dB,1.65369673065957e+002°)
1.54881661891248e+005	(-1.97955447347128e+001dB,1.65016131608189e+002°)
1.58489319246111e+005	(-1.97860245472540e+001dB,1.64653421853186e+002°)
1.62181009735893e+005	(-1.97760682551758e+001dB,1.64281260993395e+002°)
1.65958690743756e+005	(-1.97656566563818e+001dB,1.63899354381803e+002°)
1.69824365246174e+005	(-1.97547697956483e+001dB,1.63507394845177e+002°)
1.73780082874937e+005	(-1.97433869463722e+001dB,1.63105061954194e+002°)
1.77827941003892e+005	(-1.97314865949112e+001dB,1.62692021224906e+002°)
1.81970085860998e+005	(-1.97190464259259e+001dB,1.62267923286336e+002°)
1.86208713666287e+005	(-1.97060433102418e+001dB,1.61832402960845e+002°)
1.90546071796325e+005	(-1.96924532955055e+001dB,1.61385078292977e+002°)
1.94984459975804e+005	(-1.96782515990345e+001dB,1.60925549509111e+002°)
1.99526231496888e+005	(-1.96634126067500e+001dB,1.60453397878810e+002°)
2.04173794466953e+005	(-1.96479098746603e+001dB,1.59968184515244e+002°)
2.08929613085404e+005	(-1.96317161366844e+001dB,1.59469449070427e+002°)
2.13796208950223e+005	(-1.96148033197300e+001dB,1.58956708332491e+002°)
2.18776162394955e+005	(-1.95971425650554e+001dB,1.58429454727357e+002°)
2.23872113856834e+005	(-1.95787042606667e+001dB,1.57887154690632e+002°)
2.29086765276777e+005	(-1.95594580821862e+001dB,1.57329246926153e+002°)
2.34422881531992e+005	(-1.95393730485102e+001dB,1.56755140532184e+002°)
2.39883291901949e+005	(-1.95184175897319e+001dB,1.56164212975593e+002°)
2.45470891568503e+005	(-1.94965596343662e+001dB,1.55555807923255e+002°)
2.51188643150958e+005	(-1.94737667149662e+001dB,1.54929232898120e+002°)
2.57039578276886e+005	(-1.94500060962529e+001dB,1.54283756775204e+002°)
2.63026799189538e+005	(-1.94252449322355e+001dB,1.53618607067828e+002°)
2.69153480392691e+005	(-1.93994504517286e+001dB,1.52932967030926e+002°)
2.75422870333816e+005	(-1.93725901807109e+001dB,1.52225972553130e+002°)
2.81838293126445e+005	(-1.93446322070050e+001dB,1.51496708811427e+002°)
2.88403150312660e+005	(-1.93155454921529e+001dB,1.50744206707327e+002°)
2.95120922666638e+005	(-1.92853002388674e+001dB,1.49967439046617e+002°)
3.01995172040201e+005	(-1.92538683220461e+001dB,1.49165316485207e+002°)
3.09029543251359e+005	(-1.92212237952434e+001dB,1.48336683204773e+002°)
3.16227766016838e+005	(-1.91873434795213e+001dB,1.47480312329068e+002°)
