Freq.	V(vout)
1.30000000000000e+005	(-2.69545184053521e+000dB,-8.32188982006197e+000°)
1.33028088996498e+005	(-2.69551583760921e+000dB,-8.51709207995255e+000°)
1.36126711246617e+005	(-2.69558509911803e+000dB,-8.71693756197421e+000°)
1.39297509680889e+005	(-2.69566008996510e+000dB,-8.92154119924482e+000°)
1.42542165498614e+005	(-2.69574131785833e+000dB,-9.13102107269343e+000°)
1.45862399059255e+005	(-2.69582933733893e+000dB,-9.34549851628958e+000°)
1.49259970794595e+005	(-2.69592475419363e+000dB,-9.56509822678659e+000°)
1.52736682142139e+005	(-2.69602823028640e+000dB,-9.78994837820316e+000°)
1.56294376500264e+005	(-2.69614048884989e+000dB,-1.00201807412791e+001°)
1.59934940205610e+005	(-2.69626232028056e+000dB,-1.02559308081501e+001°)
1.63660303533242e+005	(-2.69639458848513e+000dB,-1.04973379224989e+001°)
1.67472441720107e+005	(-2.69653823783119e+000dB,-1.07445454154480e+001°)
1.71373376012333e+005	(-2.69669430075932e+000dB,-1.09977007474724e+001°)
1.75365174736915e+005	(-2.69686390611966e+000dB,-1.12569556566185e+001°)
1.79449954398375e+005	(-2.69704828830184e+000dB,-1.15224663133279e+001°)
1.83629880800958e+005	(-2.69724879723365e+000dB,-1.17943934821703e+001°)
1.87907170196970e+005	(-2.69746690933079e+000dB,-1.20729026908035e+001°)
1.92284090461867e+005	(-2.69770423948792e+000dB,-1.23581644064814e+001°)
1.96762962296707e+005	(-2.69796255420975e+000dB,-1.26503542204407e+001°)
2.01346160458622e+005	(-2.69824378598972e+000dB,-1.29496530405010e+001°)
2.06036115019945e+005	(-2.69855004905430e+000dB,-1.32562472922160e+001°)
2.10835312656661e+005	(-2.69888365660161e+000dB,-1.35703291289158e+001°)
2.15746297966883e+005	(-2.69924713967498e+000dB,-1.38920966509767e+001°)
2.20771674820027e+005	(-2.69964326782503e+000dB,-1.42217541346518e+001°)
2.25914107737419e+005	(-2.70007507172801e+000dB,-1.45595122707859e+001°)
2.31176323305060e+005	(-2.70054586794315e+000dB,-1.49055884137249e+001°)
2.36561111619298e+005	(-2.70105928600865e+000dB,-1.52602068407096e+001°)
2.42071327766172e+005	(-2.70161929809365e+000dB,-1.56235990220204e+001°)
2.47709893335222e+005	(-2.70223025144317e+000dB,-1.59960039021048e+001°)
2.53479797968546e+005	(-2.70289690387373e+000dB,-1.63776681918756e+001°)
2.59384100945954e+005	(-2.70362446260048e+000dB,-1.67688466723195e+001°)
2.65425932807038e+005	(-2.70441862670065e+000dB,-1.71698025094858e+001°)
2.71608497011025e+005	(-2.70528563354469e+000dB,-1.75808075808499e+001°)
2.77935071635290e+005	(-2.70623230955469e+000dB,-1.80021428129492e+001°)
2.84409011113441e+005	(-2.70726612567973e+000dB,-1.84340985300760e+001°)
2.91033748013884e+005	(-2.70839525801006e+000dB,-1.88769748136756e+001°)
2.97812794859810e+005	(-2.70962865398657e+000dB,-1.93310818719400e+001°)
3.04749745991589e+005	(-2.71097610469799e+000dB,-1.97967404188955e+001°)
3.11848279472533e+005	(-2.71244832379695e+000dB,-2.02742820620663e+001°)
3.19112159039053e+005	(-2.71405703360635e+000dB,-2.07640496975355e+001°)
3.26545236096245e+005	(-2.71581505902941e+000dB,-2.12663979109254e+001°)
3.34151451759952e+005	(-2.71773642992077e+000dB,-2.17816933824762e+001°)
3.41934838946399e+005	(-2.71983649262074e+000dB,-2.23103152939964e+001°)
3.49899524510498e+005	(-2.72213203140063e+000dB,-2.28526557350023e+001°)
3.58049731433961e+005	(-2.72464140061311e+000dB,-2.34091201048304e+001°)
3.66389781064378e+005	(-2.72738466838719e+000dB,-2.39801275069081e+001°)
3.74924095406458e+005	(-2.73038377275111e+000dB,-2.45661111306697e+001°)
3.83657199466629e+005	(-2.73366269110837e+000dB,-2.51675186158298e+001°)
3.92593723652261e+005	(-2.73724762402908e+000dB,-2.57848123928293e+001°)
4.01738406226766e+005	(-2.74116719435025e+000dB,-2.64184699922710e+001°)
4.11096095821889e+005	(-2.74545266260219e+000dB,-2.70689843150303e+001°)
4.20671754008516e+005	(-2.75013815979027e+000dB,-2.77368638534604e+001°)
4.30470457927368e+005	(-2.75526093855988e+000dB,-2.84226328526989e+001°)
4.40497402980962e+005	(-2.76086164375304e+000dB,-2.91268313995122e+001°)
4.50757905588290e+005	(-2.76698460332304e+000dB,-2.98500154243783e+001°)
4.61257406003647e+005	(-2.77367814050426e+000dB,-3.05927566005987e+001°)
4.72001471201131e+005	(-2.78099490803075e+000dB,-3.13556421221498e+001°)
4.82995797826323e+005	(-2.78899224505289e+000dB,-3.21392743397186e+001°)
4.94246215216728e+005	(-2.79773255720804e+000dB,-3.29442702319443e+001°)
5.05758688492564e+005	(-2.80728372004967e+000dB,-3.37712606862980e+001°)
5.17539321719545e+005	(-2.81771950571877e+000dB,-3.46208895613175e+001°)
5.29594361145345e+005	(-2.82912003234226e+000dB,-3.54938124990981e+001°)
5.41930198511435e+005	(-2.84157223515053e+000dB,-3.63906954540769e+001°)
5.54553374442069e+005	(-2.85517035770992e+000dB,-3.73122129013056e+001°)
5.67470581912214e+005	(-2.87001646095059e+000dB,-3.82590456846770e+001°)
5.80688669796251e+005	(-2.88622094682361e+000dB,-3.92318784630639e+001°)
5.94214646499336e+005	(-2.90390309242964e+000dB,-4.02313967101997e+001°)
6.08055683673356e+005	(-2.92319158931530e+000dB,-4.12582832225558e+001°)
6.22219120019428e+005	(-2.94422508132218e+000dB,-4.23132140886637e+001°)
6.36712465178979e+005	(-2.96715269289488e+000dB,-4.33968540735636e+001°)
6.51543403715452e+005	(-2.99213453810886e+000dB,-4.45098513736190e+001°)
6.66719799188773e+005	(-3.01934219887671e+000dB,-4.56528317001810e+001°)
6.82249698324703e+005	(-3.04895915885292e+000dB,-4.68263916558790e+001°)
6.98141335281327e+005	(-3.08118117751597e+000dB,-4.80310913750794e+001°)
7.14403136014910e+005	(-3.11621658681355e+000dB,-4.92674464107101e+001°)
7.31043722747452e+005	(-3.15428649068022e+000dB,-5.05359188636148e+001°)
7.48071918538302e+005	(-3.19562484576981e+000dB,-5.18369077682726e+001°)
7.65496751962263e+005	(-3.24047840000301e+000dB,-5.31707387703950e+001°)
7.83327461896663e+005	(-3.28910646415450e+000dB,-5.45376531578129e+001°)
8.01573502419924e+005	(-3.34178049086044e+000dB,-5.59377963361889e+001°)
8.20244547824249e+005	(-3.39878343530342e+000dB,-5.73712058752406e+001°)
8.39350497745050e+005	(-3.46040887263085e+000dB,-5.88377992888017e+001°)
8.58901482409872e+005	(-3.52695984909405e+000dB,-6.03373617522944e+001°)
8.78907868009574e+005	(-3.59874744715869e+000dB,-6.18695340027138e+001°)
8.99380262194615e+005	(-3.67608904960886e+000dB,-6.34338007072445e+001°)
9.20329519699377e+005	(-3.75930629407058e+000dB,-6.50294796248795e+001°)
9.41766748097484e+005	(-3.84872271746997e+000dB,-6.66557119181933e+001°)
9.63703313691190e+005	(-3.94466109966647e+000dB,-6.83114539966973e+001°)
9.86150847537936e+005	(-4.04744052668904e+000dB,-6.99954712857428e+001°)
1.00912125161730e+006	(-4.15737320633541e+000dB,-7.17063343125574e+001°)
1.03262670514156e+006	(-4.27476108189576e+000dB,-7.34424174808382e+001°)
1.05667967101333e+006	(-4.39989230281009e+000dB,-7.52019008651856e+001°)
1.08129290243347e+006	(-4.53303762340269e+000dB,-7.69827752953656e+001°)
1.10647944966309e+006	(-4.67444681161307e+000dB,-7.87828509180860e+001°)
1.13225266694290e+006	(-4.82434515797678e+000dB,-8.05997693224349e+001°)
1.15862621957387e+006	(-4.98293018016583e+000dB,-8.24310191978377e+001°)
1.18561409116268e+006	(-5.15036861946533e+000dB,-8.42739553655529e+001°)
1.21323059103608e+006	(-5.32679382214488e+000dB,-8.61258208930077e+001°)
1.24149036182786e+006	(-5.51230359057074e+000dB,-8.79837718723957e+001°)
1.27040838724255e+006	(-5.70695857622980e+000dB,-8.98449043290716e+001°)
1.30000000000000e+006	(-5.91078127009241e+000dB,-9.17062826292638e+001°)
1.33028088996498e+006	(-6.12375562576226e+000dB,-9.35649686873053e+001°)
1.36126711246617e+006	(-6.34582732876657e+000dB,-9.54180512350533e+001°)
1.39297509680888e+006	(-6.57690470243905e+000dB,-9.72626744132323e+001°)
1.42542165498614e+006	(-6.81686021852404e+000dB,-9.90960649763168e+001°)
1.45862399059255e+006	(-7.06553256021354e+000dB,-1.00915557466876e+002°)
1.49259970794594e+006	(-7.32272916797792e+000dB,-1.02718616807297e+002°)
1.52736682142138e+006	(-7.58822918515295e+000dB,-1.04502857869907e+002°)
1.56294376500263e+006	(-7.86178671135179e+000dB,-1.06266061712935e+002°)
1.59934940205609e+006	(-8.14313426757504e+000dB,-1.08006188301432e+002°)
1.63660303533241e+006	(-8.43198637723675e+000dB,-1.09721385661206e+002°)
1.67472441720107e+006	(-8.72804317175950e+000dB,-1.11409995533314e+002°)
1.71373376012332e+006	(-9.03099393723403e+000dB,-1.13070555701109e+002°)
1.75365174736914e+006	(-9.34052052906797e+000dB,-1.14701799247513e+002°)
1.79449954398374e+006	(-9.65630059368329e+000dB,-1.16302651065048e+002°)
1.83629880800957e+006	(-9.97801054930609e+000dB,-1.17872221984790e+002°)
1.87907170196970e+006	(-1.03053282909490e+001dB,-1.19409800913762e+002°)
1.92284090461866e+006	(-1.06379355971676e+001dB,-1.20914845375456e+002°)
1.96762962296706e+006	(-1.09755202275771e+001dB,-1.22386970837911e+002°)
2.01346160458622e+006	(-1.13177777101006e+001dB,-1.23825939191241e+002°)
2.06036115019944e+006	(-1.16644128252903e+001dB,-1.25231646704893e+002°)
2.10835312656660e+006	(-1.20151408017453e+001dB,-1.26604111757433e+002°)
2.15746297966882e+006	(-1.23696882416870e+001dB,-1.27943462590876e+002°)
2.20771674820026e+006	(-1.27277937992603e+001dB,-1.29249925300039e+002°)
2.25914107737418e+006	(-1.30892086362633e+001dB,-1.30523812226812e+002°)
2.31176323305059e+006	(-1.34536966809876e+001dB,-1.31765510891081e+002°)
2.36561111619297e+006	(-1.38210347158628e+001dB,-1.32975473555295e+002°)
2.42071327766172e+006	(-1.41910123188649e+001dB,-1.34154207488806e+002°)
