1,0.52174,0.52174
5,0.522,0.52
10,0.386,0.382
15,0.386,0.377
20,0.386,0.369
25,0.387,0.359
30,0.387,0.347
35,0.353,0.305
40,0.353,0.291
45,0.354,0.277
50,0.162,0.13
53,0.162,0.127
54,0.162,0.127
55,0.162,0.126
56,0.162,0.125
57,0.162,0.124
58,0.162,0.123
59,0.162,0.122
60,0.162,0.121
65,0.162,0.117
70,0.162,0.113
75,0.162,0.11
80,0.162,0.107
