Freq.	V(vin)/I(R5)
6.00000000000000e+004	(8.78981267190338e+001dB,1.74602206567634e+002°)
6.13975795368452e+004	(8.78962989758542e+001dB,1.74477263899929e+002°)
6.28277128830540e+004	(8.78943859387341e+001dB,1.74349466858390e+002°)
6.42911583142564e+004	(8.78923836685731e+001dB,1.74218752900783e+002°)
6.57886917685911e+004	(8.78902880482870e+001dB,1.74085058303656e+002°)
6.73211072581178e+004	(8.78880947751417e+001dB,1.73948318153751e+002°)
6.88892172898130e+004	(8.78857993527912e+001dB,1.73808466340473e+002°)
7.04938532963718e+004	(8.78833970830144e+001dB,1.73665435549533e+002°)
7.21358660770448e+004	(8.78808830571419e+001dB,1.73519157257849e+002°)
7.38161262487429e+004	(8.78782521471653e+001dB,1.73369561729858e+002°)
7.55355247076500e+004	(8.78754989965225e+001dB,1.73216578015334e+002°)
7.72949731015880e+004	(8.78726180105522e+001dB,1.73060133948865e+002°)
7.90954043133844e+004	(8.78696033466101e+001dB,1.72900156151116e+002°)
8.09377729554992e+004	(8.78664489038425e+001dB,1.72736570032040e+002°)
8.28230558761731e+004	(8.78631483126106e+001dB,1.72569299796191e+002°)
8.47522526773652e+004	(8.78596949235622e+001dB,1.72398268450302e+002°)
8.67263862447556e+004	(8.78560817963454e+001dB,1.72223397813312e+002°)
8.87465032900924e+004	(8.78523016879623e+001dB,1.72044608529032e+002°)
9.08136749061725e+004	(8.78483470407607e+001dB,1.71861820081635e+002°)
9.29289971347488e+004	(8.78442099700620e+001dB,1.71674950814192e+002°)
9.50935915476668e+004	(8.78398822514269e+001dB,1.71483917950459e+002°)
9.73086058415358e+004	(8.78353553075599e+001dB,1.71288637620160e+002°)
9.95752144462536e+004	(8.78306201948553e+001dB,1.71089024887989e+002°)
1.01894619147705e+005	(8.78256675895921e+001dB,1.70884993786592e+002°)
1.04268049724962e+005	(8.78204877737821e+001dB,1.70676457353796e+002°)
1.06696764602335e+005	(8.78150706206819e+001dB,1.70463327674344e+002°)
1.09182051516599e+005	(8.78094055799809e+001dB,1.70245515926432e+002°)
1.11725228199772e+005	(8.78034816626779e+001dB,1.70022932433339e+002°)
1.14327643077795e+005	(8.77972874256638e+001dB,1.69795486720460e+002°)
1.16990675985483e+005	(8.77908109560314e+001dB,1.69563087578050e+002°)
1.19715738898133e+005	(8.77840398551345e+001dB,1.69325643130013e+002°)
1.22504276680172e+005	(8.77769612224235e+001dB,1.69083060909060e+002°)
1.25357767851242e+005	(8.77695616390892e+001dB,1.68835247938593e+002°)
1.28277725370134e+005	(8.77618271515482e+001dB,1.68582110821652e+002°)
1.31265697436973e+005	(8.77537432548120e+001dB,1.68323555837283e+002°)
1.34323268314100e+005	(8.77452948757816e+001dB,1.68059489044692e+002°)
1.37452059166066e+005	(8.77364663565192e+001dB,1.67789816395540e+002°)
1.40653728919195e+005	(8.77272414375511e+001dB,1.67514443854744e+002°)
1.43929975141169e+005	(8.77176032412628e+001dB,1.67233277530153e+002°)
1.47282534941102e+005	(8.77075342554538e+001dB,1.66946223811442e+002°)
1.50713185890575e+005	(8.76970163171253e+001dB,1.66653189518586e+002°)
1.54223746966132e+005	(8.76860305965806e+001dB,1.66354082060249e+002°)
1.57816079513723e+005	(8.76745575819264e+001dB,1.66048809602417e+002°)
1.61492088235615e+005	(8.76625770640694e+001dB,1.65737281247586e+002°)
1.65253722200290e+005	(8.76500681223094e+001dB,1.65419407224779e+002°)
1.69102975875867e+005	(8.76370091106412e+001dB,1.65095099090679e+002°)
1.73041890187596e+005	(8.76233776448802e+001dB,1.64764269942074e+002°)
1.77072553599983e+005	(8.76091505907403e+001dB,1.64426834639838e+002°)
1.81197103224121e+005	(8.75943040529971e+001dB,1.64082710044563e+002°)
1.85417725950815e+005	(8.75788133658786e+001dB,1.63731815263978e+002°)
1.89736659610103e+005	(8.75626530848332e+001dB,1.63374071912156e+002°)
1.94156194157777e+005	(8.75457969798342e+001dB,1.63009404380529e+002°)
1.98678672889554e+005	(8.75282180303850e+001dB,1.62637740120578e+002°)
2.03306493683521e+005	(8.75098884223977e+001dB,1.62259009938062e+002°)
2.08042110271519e+005	(8.74907795471248e+001dB,1.61873148298499e+002°)
2.12888033540145e+005	(8.74708620023279e+001dB,1.61480093643568e+002°)
2.17846832862060e+005	(8.74501055958736e+001dB,1.61079788717954e+002°)
2.22921137458303e+005	(8.74284793519499e+001dB,1.60672180906087e+002°)
2.28113637792336e+005	(8.74059515201007e+001dB,1.60257222578068e+002°)
2.33427086996568e+005	(8.73824895872734e+001dB,1.59834871443985e+002°)
2.38864302332098e+005	(8.73580602930808e+001dB,1.59405090915644e+002°)
2.44428166682467e+005	(8.73326296484689e+001dB,1.58967850474647e+002°)
2.50121630082201e+005	(8.73061629579848e+001dB,1.58523126045557e+002°)
2.55947711280955e+005	(8.72786248458286e+001dB,1.58070900372764e+002°)
2.61909499344099e+005	(8.72499792858656e+001dB,1.57611163399498e+002°)
2.68010155290577e+005	(8.72201896357641e+001dB,1.57143912647280e+002°)
2.74252913768925e+005	(8.71892186754106e+001dB,1.56669153593943e+002°)
2.80641084772318e+005	(8.71570286497354e+001dB,1.56186900048182e+002°)
2.87178055393583e+005	(8.71235813160635e+001dB,1.55697174518463e+002°)
2.93867291621067e+005	(8.70888379960812e+001dB,1.55200008573940e+002°)
3.00712340176363e+005	(8.70527596324821e+001dB,1.54695443194910e+002°)
