x-axis,IN,OUT
second,Volt,Volt
-44.55000E+00,+6.71680E+00,-753.91E-03
-44.50000E+00,+6.68750E+00,-744.14E-03
-44.45000E+00,+6.66797E+00,-744.14E-03
-44.40000E+00,+6.63867E+00,-744.14E-03
-44.35000E+00,+6.61914E+00,-744.14E-03
-44.30000E+00,+6.58984E+00,-734.38E-03
-44.25000E+00,+6.57031E+00,-734.38E-03
-44.20000E+00,+6.54102E+00,-734.38E-03
-44.15000E+00,+6.52148E+00,-724.61E-03
-44.10000E+00,+6.50195E+00,-724.61E-03
-44.05000E+00,+6.47266E+00,-724.61E-03
-44.00000E+00,+6.45313E+00,-724.61E-03
-43.95000E+00,+6.43359E+00,-714.84E-03
-43.90000E+00,+6.41406E+00,-714.84E-03
-43.85000E+00,+6.38477E+00,-714.84E-03
-43.80000E+00,+6.36523E+00,-714.84E-03
-43.75000E+00,+6.34570E+00,-714.84E-03
-43.70000E+00,+6.31641E+00,-705.08E-03
-43.65000E+00,+6.29688E+00,-705.08E-03
-43.60000E+00,+6.26758E+00,-705.08E-03
-43.55000E+00,+6.24805E+00,-705.08E-03
-43.50000E+00,+6.21875E+00,-695.31E-03
-43.45000E+00,+6.19922E+00,-695.31E-03
-43.40000E+00,+6.16992E+00,-695.31E-03
-43.35000E+00,+6.14063E+00,-695.31E-03
-43.30000E+00,+6.12109E+00,-685.55E-03
-43.25000E+00,+6.09180E+00,-685.55E-03
-43.20000E+00,+6.07227E+00,-685.55E-03
-43.15000E+00,+6.04297E+00,-685.55E-03
-43.10000E+00,+6.02344E+00,-675.78E-03
-43.05000E+00,+5.99414E+00,-675.78E-03
-43.00000E+00,+5.97461E+00,-675.78E-03
-42.95000E+00,+5.94531E+00,-675.78E-03
-42.90000E+00,+5.92578E+00,-666.02E-03
-42.85000E+00,+5.89648E+00,-666.02E-03
-42.80000E+00,+5.87695E+00,-666.02E-03
-42.75000E+00,+5.85742E+00,-666.02E-03
-42.70000E+00,+5.83789E+00,-656.25E-03
-42.65000E+00,+5.80859E+00,-656.25E-03
-42.60000E+00,+5.78906E+00,-656.25E-03
-42.55000E+00,+5.75977E+00,-656.25E-03
-42.50000E+00,+5.74023E+00,-646.48E-03
-42.45000E+00,+5.71094E+00,-646.48E-03
-42.40000E+00,+5.68164E+00,-646.48E-03
-42.35000E+00,+5.66211E+00,-646.48E-03
-42.30000E+00,+5.63281E+00,-646.48E-03
-42.25000E+00,+5.61328E+00,-636.72E-03
-42.20000E+00,+5.58398E+00,-636.72E-03
-42.15000E+00,+5.55469E+00,-636.72E-03
-42.10000E+00,+5.53516E+00,-636.72E-03
-42.05000E+00,+5.51563E+00,-626.95E-03
-42.00000E+00,+5.48633E+00,-626.95E-03
-41.95000E+00,+5.46680E+00,-626.95E-03
-41.90000E+00,+5.43750E+00,-626.95E-03
-41.85000E+00,+5.41797E+00,-617.19E-03
-41.80000E+00,+5.38867E+00,-617.19E-03
-41.75000E+00,+5.36914E+00,-617.19E-03
-41.70000E+00,+5.34961E+00,-617.19E-03
-41.65000E+00,+5.32031E+00,-607.42E-03
-41.60000E+00,+5.30078E+00,-607.42E-03
-41.55000E+00,+5.27148E+00,-607.42E-03
-41.50000E+00,+5.25195E+00,-607.42E-03
-41.45000E+00,+5.22266E+00,-597.66E-03
-41.40000E+00,+5.20313E+00,-597.66E-03
-41.35000E+00,+5.17383E+00,-597.66E-03
-41.30000E+00,+5.14453E+00,-597.66E-03
-41.25000E+00,+5.12500E+00,-587.89E-03
-41.20000E+00,+5.09570E+00,-587.89E-03
-41.15000E+00,+5.07617E+00,-587.89E-03
-41.10000E+00,+5.05664E+00,-587.89E-03
-41.05000E+00,+5.02734E+00,-578.13E-03
-41.00000E+00,+5.00781E+00,-578.13E-03
-40.95000E+00,+4.97852E+00,-578.13E-03
-40.90000E+00,+4.95898E+00,-578.13E-03
-40.85000E+00,+4.92969E+00,-568.36E-03
-40.80000E+00,+4.91016E+00,-568.36E-03
-40.75000E+00,+4.89063E+00,-568.36E-03
-40.70000E+00,+4.86133E+00,-568.36E-03
-40.65000E+00,+4.83203E+00,-568.36E-03
-40.60000E+00,+4.81250E+00,-558.59E-03
-40.55000E+00,+4.79297E+00,-558.59E-03
-40.50000E+00,+4.76367E+00,-558.59E-03
-40.45000E+00,+4.74414E+00,-558.59E-03
-40.40000E+00,+4.71484E+00,-548.83E-03
-40.35000E+00,+4.69531E+00,-548.83E-03
