Freq.	V(vout)
1.05210719675815e+005	(-2.73267690326046e-001dB,1.61921459394443e+002°)
1.07661392157076e+005	(-2.85787777283093e-001dB,1.61513001914532e+002°)
1.10169148133527e+005	(-2.98865880830569e-001dB,1.61095892434355e+002°)
1.12735317250578e+005	(-3.12525397986083e-001dB,1.60669986210508e+002°)
1.15361260125064e+005	(-3.26790574748803e-001dB,1.60235138639971e+002°)
1.18048369066655e+005	(-3.41686525182222e-001dB,1.59791205454842e+002°)
1.20798068816080e+005	(-3.57239249839491e-001dB,1.59338042929168e+002°)
1.23611817300543e+005	(-3.73475653407207e-001dB,1.58875508098127e+002°)
1.26491106406735e+005	(-3.90423561435234e-001dB,1.58403458989772e+002°)
1.29437462771851e+005	(-4.08111736011893e-001dB,1.57921754869493e+002°)
1.32452448593036e+005	(-4.26569890235486e-001dB,1.57430256497306e+002°)
1.35537662455681e+005	(-4.45828701325194e-001dB,1.56928826398026e+002°)
1.38694740181012e+005	(-4.65919822206437e-001dB,1.56417329144286e+002°)
1.41925355693430e+005	(-4.86875891398592e-001dB,1.55895631652307e+002°)
1.45231221908040e+005	(-5.08730541025900e-001dB,1.55363603490245e+002°)
1.48614091638869e+005	(-5.31518402766613e-001dB,1.54821117198826e+002°)
1.52075758528224e+005	(-5.55275111549566e-001dB,1.54268048623897e+002°)
1.55618057997712e+005	(-5.80037306803531e-001dB,1.53704277260400e+002°)
1.59242868221399e+005	(-6.05842631061419e-001dB,1.53129686607177e+002°)
1.62952111121645e+005	(-6.32729725719454e-001dB,1.52544164531848e+002°)
1.66747753388134e+005	(-6.60738223751569e-001dB,1.51947603644938e+002°)
1.70631807520637e+005	(-6.89908739180644e-001dB,1.51339901682205e+002°)
1.74606332896066e+005	(-7.20282853111915e-001dB,1.50720961894056e+002°)
1.78673436860385e+005	(-7.51903096139498e-001dB,1.50090693440728e+002°)
1.82835275845950e+005	(-7.84812926945327e-001dB,1.49449011791784e+002°)
1.87094056514879e+005	(-8.19056706920366e-001dB,1.48795839128321e+002°)
1.91452036929055e+005	(-8.54679670651550e-001dB,1.48131104746099e+002°)
1.95911527747378e+005	(-8.91727892134337e-001dB,1.47454745457677e+002°)
2.00474893450908e+005	(-9.30248246590322e-001dB,1.46766705991474e+002°)
2.05144553596545e+005	(-9.70288367791835e-001dB,1.46066939385517e+002°)
2.09922984099908e+005	(-1.01189660082168e+000dB,1.45355407373505e+002°)
2.14812718548101e+005	(-1.05512195022510e+000dB,1.44632080760696e+002°)
2.19816349543049e+005	(-1.10001402354366e+000dB,1.43896939787001e+002°)
2.24936530076139e+005	(-1.14662297025614e+000dB,1.43149974474566e+002°)
2.30175974934862e+005	(-1.19499941619060e+000dB,1.42391184957054e+002°)
2.35537462142235e+005	(-1.24519439351234e+000dB,1.41620581787792e+002°)
2.41023834429742e+005	(-1.29725926643736e+000dB,1.40838186223896e+002°)
2.46638000744592e+005	(-1.35124565286614e+000dB,1.40044030483517e+002°)
2.52382937792077e+005	(-1.40720534218067e+000dB,1.39238157973373e+002°)
