x-axis,IN,OUT
second,Volt,Volt
-44.55000E+00,-6.59375E+00,+5.96484E+00
-44.50000E+00,-6.62305E+00,+5.98438E+00
-44.45000E+00,-6.64258E+00,+6.01367E+00
-44.40000E+00,-6.67188E+00,+6.03320E+00
-44.35000E+00,-6.70117E+00,+6.05273E+00
-44.30000E+00,-6.72070E+00,+6.08203E+00
-44.25000E+00,-6.75000E+00,+6.10156E+00
-44.20000E+00,-6.76953E+00,+6.13086E+00
-44.15000E+00,-6.78906E+00,+6.15039E+00
-44.10000E+00,-6.81836E+00,+6.17969E+00
-44.05000E+00,-6.83789E+00,+6.20898E+00
-44.00000E+00,-6.86719E+00,+6.23828E+00
-43.95000E+00,-6.88672E+00,+6.25781E+00
-43.90000E+00,-6.91602E+00,+6.28711E+00
-43.85000E+00,-6.93555E+00,+6.30664E+00
-43.80000E+00,-6.96484E+00,+6.32617E+00
-43.75000E+00,-6.98437E+00,+6.35547E+00
-43.70000E+00,-7.01367E+00,+6.37500E+00
-43.65000E+00,-7.04297E+00,+6.39453E+00
-43.60000E+00,-7.06250E+00,+6.41406E+00
-43.55000E+00,-7.09180E+00,+6.44336E+00
-43.50000E+00,-7.11133E+00,+6.46289E+00
-43.45000E+00,-7.14062E+00,+6.49219E+00
-43.40000E+00,-7.16016E+00,+6.51172E+00
-43.35000E+00,-7.18945E+00,+6.54102E+00
-43.30000E+00,-7.20898E+00,+6.56055E+00
-43.25000E+00,-7.22852E+00,+6.58984E+00
-43.20000E+00,-7.25781E+00,+6.61914E+00
-43.15000E+00,-7.27734E+00,+6.64844E+00
-43.10000E+00,-7.29687E+00,+6.66797E+00
-43.05000E+00,-7.32617E+00,+6.69727E+00
-43.00000E+00,-7.35547E+00,+6.71680E+00
-42.95000E+00,-7.37500E+00,+6.74609E+00
-42.90000E+00,-7.40430E+00,+6.77539E+00
-42.85000E+00,-7.42383E+00,+6.79492E+00
-42.80000E+00,-7.44336E+00,+6.81445E+00
-42.75000E+00,-7.47266E+00,+6.84375E+00
-42.70000E+00,-7.49219E+00,+6.86328E+00
-42.65000E+00,-7.52148E+00,+6.89258E+00
-42.60000E+00,-7.54102E+00,+6.91211E+00
-42.55000E+00,-7.57031E+00,+6.94141E+00
-42.50000E+00,-7.58984E+00,+6.96094E+00
-42.45000E+00,-7.61914E+00,+6.99023E+00
-42.40000E+00,-7.63867E+00,+7.00977E+00
-42.35000E+00,-7.66797E+00,+7.02930E+00
-42.30000E+00,-7.68750E+00,+7.05859E+00
-42.25000E+00,-7.71680E+00,+7.07812E+00
-42.20000E+00,-7.73633E+00,+7.09766E+00
-42.15000E+00,-7.76562E+00,+7.12695E+00
-42.10000E+00,-7.79492E+00,+7.15625E+00
-42.05000E+00,-7.82422E+00,+7.17578E+00
-42.00000E+00,-7.82422E+00,+7.18555E+00
-41.95000E+00,-7.80469E+00,+7.16602E+00
-41.90000E+00,-7.77539E+00,+7.13672E+00
-41.85000E+00,-7.75586E+00,+7.11719E+00
-41.80000E+00,-7.72656E+00,+7.08789E+00
-41.75000E+00,-7.70703E+00,+7.06836E+00
-41.70000E+00,-7.67773E+00,+7.03906E+00
-41.65000E+00,-7.64844E+00,+7.01953E+00
-41.60000E+00,-7.62891E+00,+7.00000E+00
-41.55000E+00,-7.59961E+00,+6.97070E+00
-41.50000E+00,-7.58008E+00,+6.94141E+00
-41.45000E+00,-7.55078E+00,+6.92188E+00
-41.40000E+00,-7.53125E+00,+6.89258E+00
-41.35000E+00,-7.50195E+00,+6.87305E+00
-41.30000E+00,-7.48242E+00,+6.85352E+00
-41.25000E+00,-7.45313E+00,+6.82422E+00
-41.20000E+00,-7.43359E+00,+6.80469E+00
-41.15000E+00,-7.41406E+00,+6.78516E+00
-41.10000E+00,-7.38477E+00,+6.75586E+00
-41.05000E+00,-7.36523E+00,+6.72656E+00
-41.00000E+00,-7.33594E+00,+6.70703E+00
-40.95000E+00,-7.31641E+00,+6.67773E+00
-40.90000E+00,-7.28711E+00,+6.65820E+00
-40.85000E+00,-7.26758E+00,+6.62891E+00
-40.80000E+00,-7.23828E+00,+6.59961E+00
-40.75000E+00,-7.21875E+00,+6.57031E+00
