170,1.95,1.95
200,1.95,1.95
250,1.95,1.94
300,1.95,1.93
350,0.97,0.956
400,0.971,0.936
450,0.97,0.878
500,0.583,0.518
600,0.582,0.525
650,0.293,0.28
700,0.582,0.55
750,0.581,0.557
800,0.582,0.573
850,0.582,0.573
900,0.582,0.573
1000,0.581,0.573
1100,0.58,0.573
1400,0.579,0.572
1600,0.577,0.57
2000,0.573,0.567
2.5,0.565,0.56
